observations,centile,WM-hypointensities
23,0.75,1972.34734866639
23,0.95,2392.524914072
230,0.05,421.6864705121184
230,0.25,770.8496299241673
230,0.5,1013.5492787991532
230,0.75,1256.2489276741433
230,0.95,1605.4120870861911
231,0.05,578.2646854310188
231,0.25,917.636102716036
231,0.5,1153.5296143682237
231,0.75,1389.4231260204126
231,0.95,1728.7945433054301
232,0.05,424.5827172545271
232,0.25,763.9541345395419
232,0.5,999.8476461917322
232,0.75,1235.7411578439207
232,0.95,1575.1125751289364
233,0.05,578.570564014527
233,0.25,921.5674272453991
233,0.5,1159.9809483383183
233,0.75,1398.3944694312386
233,0.95,1741.3913326621082
234,0.05,575.3684386886094
234,0.25,924.5315981006565
234,0.5,1167.2312469756457
234,0.75,1409.9308958506347
234,0.95,1759.0940552626835
235,0.05,421.6864705121184
235,0.25,770.8496299241673
235,0.5,1013.5492787991532
235,0.75,1256.2489276741433
235,0.95,1605.4120870861911
236,0.05,424.88859583803617
236,0.25,767.8854590689077
236,0.5,1006.2989801618268
236,0.75,1244.7125012547467
236,0.95,1587.7093644856168
237,0.05,421.86038598891275
237,0.25,759.805014743321
237,0.5,994.7067806569818
237,0.75,1229.6085465706424
237,0.95,1567.553175325048
238,0.05,566.8666278732571
238,0.25,907.3901266985968
238,0.5,1144.084438142442
238,0.75,1380.7787495862865
238,0.95,1721.3022484116218
239,0.05,567.4573450100652
239,0.25,925.734390819963
239,0.5,1174.7690065120962
239,0.75,1423.8036222042297
239,0.95,1782.0806680141238
24,0.05,-277.3934877242382
24,0.25,1381.5183649319736
